#redshift,g,r,i,z
0.11,16.37,15.42,15.01,14.74
0.15,17.18,16.12,15.70,15.39
0.21,17.93,16.73,16.27,15.96
0.26,18.55,17.18,16.68,16.37
0.31,19.06,17.60,17.07,16.75
0.36,19.72,18.08,17.51,17.17
0.41,20.20,18.45,17.84,17.48
0.46,20.49,18.73,18.05,17.66
0.51,20.73,18.94,18.16,17.73
0.55,21.03,19.25,18.37,17.93
0.60,21.44,19.69,18.69,18.23
0.66,21.69,19.92,18.82,18.35
0.71,21.98,20.10,18.89,18.39
0.76,22.23,20.28,18.99,18.44
0.80,22.61,20.60,19.27,18.64
0.85,23.07,20.83,19.53,18.79
0.91,23.60,21.15,19.91,19.08
