#Magnitudes predicted using LePhare for the red galaxy E1 template from COSMOS library, and the DES filters
#redshift mag_i g-r r-i i-z
0.040000 20.184400 0.592500 0.207800 0.161000
0.080000 21.749600 0.657800 0.220000 0.159400
0.120000 22.684000 0.738900 0.242300 0.156000
0.160000 23.366200 0.836900 0.258200 0.165300
0.200000 23.895600 0.951000 0.288200 0.161000
0.240000 24.337200 1.071000 0.316500 0.158100
0.280000 24.723100 1.166000 0.342100 0.168700
0.320000 25.063200 1.267800 0.381300 0.174400
0.360000 25.375500 1.384100 0.411000 0.186700
0.400000 25.664000 1.471100 0.430600 0.211700
0.440000 25.932200 1.537100 0.468300 0.240900
0.480000 26.178500 1.570700 0.524200 0.263100
0.520000 26.407000 1.573500 0.599600 0.281400
0.560000 26.620200 1.565500 0.688400 0.292900
0.600000 26.828500 1.557500 0.779800 0.309200
0.640000 27.036200 1.551800 0.852000 0.326600
0.680000 27.230500 1.585100 0.917800 0.334700
0.720000 27.420600 1.583200 0.997000 0.352700
0.760000 27.606700 1.588900 1.073800 0.372500
0.800000 27.815300 1.593700 1.129900 0.434200
0.840000 28.028100 1.648500 1.123100 0.502700
0.880000 28.242400 1.694900 1.118800 0.576000
0.920000 28.456400 1.730200 1.101800 0.651800
0.960000 28.670000 1.726300 1.070200 0.718200
1.000000 28.865000 1.706600 1.052600 0.757900
1.040000 29.064500 1.701900 1.046300 0.811300
1.080000 29.274900 1.725200 1.025000 0.878000
1.120000 29.482300 1.698000 0.987200 0.941700
1.160000 29.678500 1.660700 0.966100 0.969000
1.200000 29.832900 1.585100 1.009200 0.951500
1.240000 29.995100 1.546700 1.029100 0.936900
1.280000 30.154700 1.487600 1.057400 0.927400
1.320000 30.289600 1.405900 1.109500 0.897600
1.360000 30.421300 1.330700 1.171100 0.867300
1.400000 30.543900 1.283000 1.243900 0.819500
1.440000 30.674100 1.238600 1.302800 0.781500
1.480000 30.810400 1.212800 1.344700 0.742000
1.520000 30.949300 1.223000 1.355800 0.725900
1.560000 31.096800 1.268500 1.321400 0.750600
1.600000 31.252300 1.333300 1.263900 0.782700
1.640000 31.397300 1.401600 1.229000 0.799500
1.680000 31.518900 1.420600 1.245000 0.801200
1.720000 31.655200 1.434600 1.240900 0.829800
1.760000 31.815000 1.499900 1.168000 0.888000
1.800000 31.978600 1.568000 1.098300 0.956400
1.840000 32.143000 1.634400 1.009800 1.014300
1.880000 32.296100 1.701200 0.935400 1.061300
1.920000 32.430100 1.756100 0.897000 1.099400
1.960000 32.602300 1.806200 0.820800 1.169600
2.000000 32.747100 1.877500 0.744000 1.195100
