#  z     i    gr   ri   iz
 0.00 -20.25 0.70 0.37 0.38
 0.01 12.16 0.73 0.36 0.39
 0.02 13.68 0.75 0.36 0.39
 0.03 14.58 0.77 0.36 0.39
 0.04 15.21 0.79 0.36 0.38
 0.05 15.71 0.81 0.37 0.38
 0.06 16.11 0.83 0.37 0.37
 0.07 16.45 0.85 0.38 0.36
 0.08 16.76 0.87 0.38 0.36
 0.09 17.03 0.89 0.38 0.37
 0.10 17.27 0.92 0.39 0.37
 0.11 17.49 0.95 0.39 0.38
 0.12 17.69 0.98 0.40 0.38
 0.13 17.87 1.01 0.41 0.38
 0.14 18.04 1.04 0.43 0.37
 0.15 18.20 1.08 0.44 0.36
 0.16 18.34 1.12 0.45 0.35
 0.17 18.48 1.15 0.46 0.34
 0.18 18.61 1.19 0.47 0.34
 0.19 18.74 1.23 0.48 0.33
 0.20 18.85 1.27 0.49 0.33
 0.21 18.97 1.31 0.50 0.33
 0.22 19.08 1.34 0.51 0.32
 0.23 19.18 1.37 0.52 0.32
 0.24 19.28 1.39 0.53 0.32
 0.25 19.38 1.41 0.54 0.32
 0.26 19.48 1.43 0.55 0.33
 0.27 19.58 1.46 0.56 0.33
 0.28 19.67 1.48 0.57 0.33
 0.29 19.75 1.51 0.58 0.34
 0.30 19.84 1.54 0.59 0.35
 0.31 19.93 1.58 0.59 0.35
 0.32 20.01 1.61 0.60 0.36
 0.33 20.10 1.65 0.60 0.37
 0.34 20.18 1.67 0.60 0.38
 0.35 20.26 1.69 0.61 0.39
 0.36 20.34 1.69 0.61 0.40
 0.37 20.42 1.69 0.62 0.42
 0.38 20.50 1.69 0.63 0.43
 0.39 20.57 1.68 0.64 0.44
 0.40 20.64 1.67 0.66 0.45
 0.41 20.71 1.66 0.68 0.46
 0.42 20.78 1.65 0.70 0.47
 0.43 20.84 1.65 0.73 0.48
 0.44 20.91 1.64 0.76 0.49
 0.45 20.97 1.63 0.79 0.50
 0.46 21.03 1.62 0.83 0.50
 0.47 21.08 1.61 0.86 0.51
 0.48 21.15 1.59 0.90 0.51
 0.49 21.20 1.58 0.93 0.52
 0.50 21.26 1.56 0.97 0.52
 0.51 21.32 1.55 1.00 0.52
 0.52 21.37 1.54 1.03 0.53
 0.53 21.43 1.54 1.06 0.53
 0.54 21.48 1.54 1.08 0.54
 0.55 21.54 1.54 1.10 0.54
 0.56 21.59 1.54 1.12 0.54
 0.57 21.65 1.54 1.14 0.55
 0.58 21.70 1.55 1.15 0.55
 0.59 21.75 1.56 1.17 0.55
 0.60 21.80 1.57 1.18 0.55
 0.61 21.86 1.58 1.20 0.55
 0.62 21.91 1.59 1.22 0.56
 0.63 21.97 1.60 1.23 0.56
 0.64 22.02 1.61 1.25 0.57
 0.65 22.08 1.62 1.28 0.57
 0.66 22.13 1.62 1.30 0.58
 0.67 22.18 1.63 1.32 0.59
 0.68 22.24 1.63 1.34 0.60
 0.69 22.29 1.65 1.35 0.61
 0.70 22.34 1.67 1.36 0.63
 0.71 22.40 1.70 1.36 0.64
 0.72 22.45 1.74 1.35 0.66
 0.73 22.51 1.78 1.33 0.68
 0.74 22.57 1.82 1.32 0.70
 0.75 22.63 1.86 1.30 0.73
 0.76 22.69 1.90 1.28 0.76
 0.77 22.75 1.95 1.26 0.78
 0.78 22.81 1.99 1.23 0.82
 0.79 22.88 2.03 1.21 0.85
 0.80 22.94 2.08 1.19 0.88
 0.81 23.01 2.12 1.16 0.92
 0.82 23.07 2.17 1.14 0.95
 0.83 23.14 2.21 1.13 0.98
 0.84 23.20 2.25 1.12 1.01
 0.85 23.26 2.29 1.11 1.03
 0.86 23.31 2.33 1.10 1.06
 0.87 23.37 2.35 1.09 1.07
 0.88 23.42 2.37 1.08 1.09
 0.89 23.47 2.38 1.07 1.10
 0.90 23.52 2.40 1.06 1.11
 0.91 23.56 2.40 1.06 1.11
 0.92 23.60 2.40 1.07 1.11
 0.93 23.64 2.40 1.08 1.11
 0.94 23.69 2.40 1.08 1.11
 0.95 23.74 2.40 1.07 1.12
 0.96 23.78 2.41 1.07 1.12
 0.97 23.83 2.42 1.07 1.13
 0.98 23.87 2.44 1.07 1.13
 0.99 23.92 2.47 1.07 1.14
 1.00 23.98 2.50 1.06 1.15
 1.01 24.03 2.53 1.06 1.17
 1.02 24.08 2.55 1.05 1.18
 1.03 24.13 2.57 1.05 1.20
 1.04 24.18 2.59 1.06 1.21
 1.05 24.23 2.59 1.07 1.22
 1.06 24.28 2.58 1.08 1.23
 1.07 24.32 2.57 1.09 1.23
 1.08 24.35 2.55 1.11 1.23
 1.09 24.38 2.54 1.13 1.22
 1.10 24.40 2.53 1.16 1.20
 1.11 24.42 2.52 1.18 1.18
 1.12 24.45 2.50 1.21 1.15
 1.13 24.47 2.48 1.23 1.13
 1.14 24.50 2.46 1.26 1.12
 1.15 24.53 2.43 1.28 1.10
 1.16 24.56 2.42 1.30 1.08
 1.17 24.59 2.39 1.33 1.06
 1.18 24.62 2.37 1.36 1.05
 1.19 24.65 2.35 1.39 1.03
 1.20 24.67 2.32 1.42 1.02
 1.21 24.71 2.29 1.45 1.00
 1.22 24.74 2.26 1.48 0.99
 1.23 24.77 2.23 1.50 0.98
 1.24 24.80 2.19 1.53 0.97
 1.25 24.83 2.15 1.56 0.96
 1.26 24.86 2.11 1.59 0.96
 1.27 24.90 2.07 1.62 0.96
 1.28 24.93 2.03 1.65 0.95
 1.29 24.96 2.00 1.68 0.95
 1.30 24.99 1.96 1.72 0.94
 1.31 25.02 1.92 1.76 0.94
 1.32 25.05 1.89 1.80 0.93
 1.33 25.08 1.85 1.84 0.93
 1.34 25.10 1.82 1.88 0.93
 1.35 25.13 1.80 1.91 0.93
 1.36 25.16 1.77 1.94 0.93
 1.37 25.19 1.76 1.96 0.93
 1.38 25.22 1.76 1.98 0.93
 1.39 25.25 1.76 1.99 0.93
 1.40 25.28 1.76 2.00 0.94
 1.41 25.31 1.77 2.00 0.94
 1.42 25.34 1.79 1.99 0.94
 1.43 25.38 1.81 1.99 0.95
 1.44 25.41 1.83 1.98 0.95
 1.45 25.44 1.84 1.97 0.96
 1.46 25.48 1.86 1.96 0.97
 1.47 25.52 1.88 1.95 0.98
 1.48 25.56 1.90 1.94 0.99
 1.49 25.60 1.91 1.94 1.01
 1.50 25.65 1.92 1.94 1.03
 1.51 25.69 1.92 1.94 1.05
 1.52 25.73 1.92 1.95 1.07
 1.53 25.77 1.92 1.96 1.09
 1.54 25.81 1.92 1.98 1.11
 1.55 25.85 1.92 1.99 1.12
 1.56 25.88 1.92 2.01 1.13
 1.57 25.91 1.93 2.02 1.15
 1.58 25.94 1.94 2.02 1.16
 1.59 25.98 1.96 2.02 1.17
 1.60 26.01 1.98 2.01 1.19
 1.61 26.05 1.99 2.00 1.20
 1.62 26.09 2.00 1.98 1.22
 1.63 26.12 2.02 1.96 1.23
 1.64 26.15 2.03 1.94 1.25
 1.65 26.19 2.05 1.92 1.26
 1.66 26.22 2.07 1.89 1.28
 1.67 26.26 2.08 1.86 1.30
 1.68 26.30 2.11 1.83 1.31
 1.69 26.35 2.12 1.79 1.34
 1.70 26.38 2.14 1.76 1.36
 1.71 26.42 2.16 1.72 1.38
 1.72 26.46 2.17 1.70 1.40
 1.73 26.50 2.18 1.67 1.42
 1.74 26.55 2.19 1.64 1.45
 1.75 26.59 2.20 1.61 1.47
 1.76 26.64 2.20 1.58 1.50
 1.77 26.68 2.21 1.55 1.52
 1.78 26.72 2.21 1.52 1.55
 1.79 26.77 2.22 1.49 1.58
 1.80 26.82 2.22 1.45 1.61
 1.81 26.86 2.24 1.40 1.64
 1.82 26.92 2.25 1.35 1.67
 1.83 26.96 2.27 1.31 1.69
 1.84 27.01 2.29 1.26 1.73
 1.85 27.05 2.30 1.22 1.75
 1.86 27.09 2.32 1.17 1.77
 1.87 27.13 2.33 1.14 1.79
 1.88 27.16 2.35 1.11 1.80
 1.89 27.18 2.36 1.09 1.80
 1.90 27.20 2.37 1.07 1.80
 1.91 27.22 2.38 1.05 1.79
 1.92 27.23 2.38 1.04 1.78
 1.93 27.25 2.39 1.03 1.78
 1.94 27.27 2.39 1.02 1.77
 1.95 27.28 2.39 1.01 1.76
 1.96 27.29 2.40 1.01 1.74
 1.97 27.29 2.40 1.01 1.72
 1.98 27.30 2.40 1.00 1.70
 1.99 27.30 2.41 1.00 1.67
 2.00 27.31 2.41 1.00 1.65
