#z   ,bias  ,sigma ,zlow ,zhigh, outlierFrac  
0.102,0.040,0.026,0.017,0.065,0.134
0.128,0.045,0.045,0.003,0.087,0.055
0.152,0.054,0.055,-0.001,0.108,0.050
0.177,0.070,0.070,-0.002,0.141,0.026
0.202,0.088,0.089,-0.001,0.184,0.000
0.227,0.090,0.082,-0.000,0.179,0.000
0.252,0.079,0.067,0.010,0.144,0.021
0.277,0.063,0.053,0.002,0.110,0.056
0.302,0.064,0.039,0.024,0.099,0.094
0.327,0.066,0.046,0.028,0.118,0.024
0.352,0.057,0.038,0.024,0.097,0.034
0.377,0.050,0.034,0.019,0.086,0.037
0.402,0.037,0.035,0.004,0.072,0.048
0.427,0.041,0.046,-0.007,0.080,0.033
0.452,0.042,0.050,-0.017,0.083,0.009
0.477,0.040,0.055,-0.029,0.085,0.005
0.502,0.037,0.056,-0.037,0.085,0.008
0.527,0.041,0.053,-0.027,0.088,0.016
0.552,0.048,0.052,-0.014,0.094,0.013
0.577,0.060,0.041,0.015,0.099,0.024
0.602,0.059,0.032,0.026,0.089,0.046
0.627,0.049,0.027,0.021,0.075,0.034
0.652,0.046,0.023,0.022,0.068,0.016
0.677,0.048,0.018,0.031,0.065,0.033
0.702,0.048,0.017,0.032,0.064,0.023
0.727,0.046,0.016,0.030,0.062,0.031
0.752,0.041,0.018,0.023,0.059,0.022
0.777,0.041,0.021,0.019,0.061,0.029
0.802,0.043,0.026,0.018,0.074,0.003
0.827,0.045,0.031,0.013,0.078,0.003
0.852,0.043,0.034,0.006,0.085,0.000
0.877,0.044,0.037,0.005,0.085,0.003
0.902,0.035,0.038,-0.008,0.079,0.004
0.927,0.022,0.030,-0.010,0.051,0.019
0.952,0.022,0.032,-0.005,0.052,0.029
0.977,0.020,0.031,-0.011,0.053,0.016
1.002,0.031,0.035,-0.001,0.065,0.017
