#z   ,bias  ,sigma ,zlow ,zhigh  
0.100,-0.019,0.037,-0.055,0.076
0.120,-0.021,0.033,-0.057,0.038
0.140,-0.015,0.043,-0.063,0.088
0.160,0.010,0.046,-0.053,0.115
0.180,0.011,0.051,-0.042,0.125
0.200,0.050,0.068,-0.038,0.127
0.220,0.052,0.066,-0.028,0.125
0.240,0.049,0.060,-0.022,0.101
0.260,0.036,0.048,-0.018,0.090
0.280,0.037,0.047,-0.011,0.093
0.300,0.037,0.046,-0.007,0.084
0.320,0.031,0.040,-0.010,0.057
0.340,0.024,0.033,-0.022,0.048
0.360,0.009,0.024,-0.030,0.033
0.380,0.006,0.018,-0.033,0.022
0.400,0.005,0.018,-0.052,0.019
0.420,0.010,0.022,-0.058,0.025
0.440,0.012,0.023,-0.058,0.028
0.460,0.017,0.025,-0.054,0.029
0.480,0.020,0.029,-0.050,0.033
0.500,0.023,0.027,-0.034,0.031
0.520,0.021,0.026,-0.031,0.037
0.540,0.026,0.036,-0.024,0.041
0.560,0.024,0.029,-0.022,0.035
0.580,0.025,0.028,-0.013,0.035
0.600,0.014,0.020,-0.017,0.030
0.620,0.008,0.013,-0.019,0.017
0.640,-0.001,0.006,-0.019,0.010
0.660,-0.008,0.011,-0.020,0.009
0.680,-0.013,0.015,-0.023,0.005
0.700,-0.012,0.015,-0.028,0.006
0.720,-0.013,0.017,-0.031,0.013
0.740,-0.015,0.019,-0.029,0.009
0.760,-0.015,0.018,-0.031,0.007
0.780,-0.012,0.017,-0.030,0.008
0.800,-0.006,0.017,-0.028,0.017
0.820,-0.001,0.014,-0.026,0.016
0.840,-0.002,0.013,-0.028,0.014
0.860,-0.003,0.014,-0.027,0.015
0.880,-0.006,0.014,-0.027,0.012
0.900,-0.013,0.016,-0.035,0.006
0.920,-0.014,0.017,-0.034,0.005
0.940,-0.015,0.021,-0.037,0.006
0.960,-0.021,0.025,-0.041,0.003
0.980,-0.020,0.023,-0.038,0.002
1.000,-0.019,0.027,-0.038,0.040
