#z,bias,sigma,outlier_frac
0.100,0.018,0.019,0.062
0.125,0.012,0.022,0.064
0.150,0.002,0.027,0.078
0.175,0.002,0.034,0.083
0.200,0.012,0.033,0.085
0.225,0.017,0.028,0.119
0.250,0.008,0.024,0.148
0.275,-0.001,0.029,0.120
0.300,0.010,0.048,0.010
0.325,0.019,0.035,0.010
0.350,0.013,0.030,0.014
0.375,0.007,0.024,0.012
0.400,0.000,0.020,0.016
0.425,-0.009,0.020,0.011
0.450,-0.016,0.027,0.008
0.475,-0.018,0.034,0.004
0.500,-0.017,0.040,0.003
0.525,-0.018,0.044,0.002
0.550,-0.010,0.036,0.002
0.575,-0.006,0.034,0.005
0.600,-0.001,0.031,0.006
0.625,0.001,0.028,0.012
0.650,0.001,0.026,0.009
0.675,-0.002,0.025,0.010
0.700,-0.004,0.023,0.009
