z,z_mean,sigma
0.0,-0.060437308935639616,0.0465071053237023
0.01,-0.052172252209181716,0.040992770016995056
0.02,-0.043907195482723815,0.03547843471028782
0.03,-0.035642138756265915,0.03855329454870107
0.04,-0.027377082029808014,0.045187708260302224
0.05,-0.01911202530335011,0.04798147283464951
0.06,-0.010846968576892213,0.046798489010586704
0.07,-0.0025819118504343055,0.042653773139111215
0.08,-0.00029801721444674143,0.04380885840806158
0.09,0.001985877421540822,0.045980809205866204
0.1,0.004269772057528388,0.04949273652266106
0.11,0.006553666693515952,0.05538309998674783
0.12,0.007598682292467137,0.05779187987795778
0.13,0.007404818854381943,0.06519133324077572
0.14,0.0072109554162967495,0.07436467839737924
0.15,0.0070170919782115565,0.07788012580087726
0.16,0.006823228540126363,0.0813955732043753
0.17,0.006629365102041169,0.07863242949936748
0.18,0.006406085783814283,0.07501067034537248
0.19,0.006182806465587397,0.07800711574877535
0.2,0.00595952714736051,0.07971203344058386
0.21,0.0057362478291336245,0.07977836047278025
0.22,0.005512968510906737,0.08081244671561325
0.23,0.0052896891926798514,0.0831185902308001
0.24,0.0050682642864669225,0.08187033610808274
0.25,0.00484869379226795,0.07591222033588241
0.26,0.004629123298068977,0.06867651308142136
0.27,0.004409552803870005,0.06294948626515356
0.28,0.004189982309671033,0.061188372338511446
0.29,0.0037059122514885396,0.05963018591712099
0.3,0.0029573426293225172,0.05738151682007429
0.31,0.002208773007156495,0.05556417047365509
0.32,0.0014602033849904724,0.05589132590092116
0.33,0.000711633762824452,0.059945145972158234
0.34,0.00035730284098346916,0.06482050427716068
0.35000000000000003,2.9719191424863473e-06,0.06563745237155154
0.36,-0.0003513590026984945,0.06060576219765426
0.37,-0.0007056899245394773,0.054999380584330605
0.38,-0.0010600208463804601,0.05139306327912203
0.39,-0.0008875369042813134,0.04910454208433364
0.4,-0.0007150529621821667,0.04893281818359117
0.41000000000000003,-0.0005425690200830201,0.04892229707116588
0.42,-0.0003700850779838744,0.047606250891447884
0.43,-1.6602153219385802e-05,0.04646930438763592
0.44,0.0005178797542104488,0.04598762423823535
0.45,0.0010523616616402833,0.0457653525028634
0.46,0.001586843569070118,0.04486197331623891
0.47000000000000003,0.00212132547649995,0.04346781866326821
0.48,0.0021883159627557117,0.04246009217523216
0.49,0.0022553064490114737,0.042500190540952845
0.5,0.0023222969352672362,0.043674703545917654
0.51,0.0023892874215229983,0.043050666107803476
0.52,0.0024562779077787603,0.04346796248131349
0.53,0.003383780206875013,0.04389547611389942
0.54,0.004311282505971265,0.04281585669578898
0.55,0.005238784805067518,0.04353831346378459
0.56,0.006166287104163771,0.04436476246692623
0.5700000000000001,0.006086686874249293,0.046075942655494175
0.58,0.004999984115324142,0.0484118386389069
0.59,0.003913281356398978,0.04803925429206675
0.6,0.0028265785974738154,0.04667067664141894
0.61,0.0017398758385486525,0.04508590754496701
0.62,0.0026210232083164345,0.04485418343482656
0.63,0.0035021705780842165,0.045834798764377654
0.64,0.004383317947851999,0.045791981814666996
0.65,0.005264465317619781,0.045752534848624585
0.66,0.0061456126873875635,0.04577603489650918
0.67,0.007392206421645672,0.04590298088610012
0.68,0.00863880015590378,0.04654691538468811
0.6900000000000001,0.009885393890161888,0.048361720751807336
0.7000000000000001,0.011131987624419994,0.049756339399619855
0.71,0.01227346875967403,0.04995081856157469
0.72,0.013309837295924012,0.04990368117449774
0.73,0.014346205832173994,0.049548197696586194
0.74,0.015382574368423977,0.050189036845049884
0.75,0.01641894290467396,0.05144234039027845
0.76,0.01621898398662111,0.05163247639959026
0.77,0.016019025068568265,0.0503060352013187
0.78,0.015819066150515416,0.04769050869651982
0.79,0.015619107232462568,0.04589906816348127
0.8,0.015699530467689342,0.04485712141156924
0.81,0.01606033585619574,0.04354458977852486
0.8200000000000001,0.01642114124470214,0.042684631598947434
0.8300000000000001,0.016781946633208537,0.04242618443047877
0.84,0.017142752021714933,0.04286531562612574
0.85,0.01971163635140036,0.04392800573457134
0.86,0.022280520681085814,0.04505216070187591
0.87,0.024849405010771267,0.04521281616199398
0.88,0.027418289340456724,0.044349803449011224
0.89,0.029987173670142177,0.043611138174649414
0.9,0.030928935095508623,0.04120736134858992
0.91,0.03187069652087507,0.037679736230308694
0.92,0.03281245794624152,0.03728776764523298
0.93,0.03375421937160796,0.0392322014178518
0.9400000000000001,0.032962408332535977,0.03969448177996272
0.9500000000000001,0.030437024829025546,0.03707079495294638
0.96,0.02791164132551515,0.03426638264562587
0.97,0.025386257822004724,0.03453820282091047
0.98,0.022860874318494297,0.037152603245898363
0.99,0.022498931615121592,0.03786531441922884
1.0,0.022136988911748888,0.03661968106689607
1.01,0.02177504620837618,0.03732463884748822
1.02,0.021413103505003476,0.04030575739567051
1.03,0.02105116080163077,0.04361268946729249
1.04,0.023205974255616317,0.0466751137823613
1.05,0.025360787709601863,0.051135216837584214
1.06,0.027515601163587408,0.051876915229044696
1.07,0.029670414617572957,0.05106971972306486
1.08,0.030666976469790823,0.05240841617437833
1.09,0.030505286720240964,0.052476779855153186
1.1,0.030343596970691104,0.05464880376500876
1.11,0.030181907221141245,0.056730448709180495
1.12,0.030020217471591386,0.056445572748955106
1.1300000000000001,0.03143553904276116,0.057991690835573054
1.1400000000000001,0.032850860613930936,0.0633898942661476
1.1500000000000001,0.03426618218510071,0.06367712660672276
1.16,0.03568150375627046,0.055193218063873305
1.17,0.037096825327440235,0.05178393928057973
1.18,0.03747437577675058,0.05214308980802739
1.19,0.03785192622606092,0.050415269778543215
1.2,0.038229476675371264,0.05029352012056107
1.21,0.03860702712468161,0.04896334423651118
1.22,0.03644512969331685,0.04791697275763432
1.23,0.0317437843812771,0.050887985667644645
1.24,0.027042439069237346,0.05552909161330745
1.25,0.022341093757197596,0.06284848515110551
1.26,0.017639748445157845,0.0721313825737952
1.27,0.01487949776044118,0.07960363455467334
1.28,0.012119247075724515,0.08350503114001775
1.29,0.00935899639100785,0.0804848693520059
1.3,0.006598745706291185,0.07472310817106068
1.31,0.0038384950215745207,0.0693531073117108
1.32,-0.00013490132559894862,0.06690517771708564
1.33,-0.004108297672772418,0.07396678815982377
1.34,-0.008081694019945889,0.08137254231607763
1.35,-0.012055090367119357,0.0849772672139728
1.36,-0.016028486714292828,0.08703316540223056
1.37,-0.015683735338057374,0.08644247287570418
1.3800000000000001,-0.01533898396182192,0.0852502099219318
1.3900000000000001,-0.014994232585586464,0.08275979981743847
1.4000000000000001,-0.014649481209351011,0.07537079040440116
1.41,-0.014304729833115563,0.07219615482765232
1.42,-0.010181581102549317,0.07419072042978277
1.43,-0.006058432371982985,0.07418772567604658
1.44,-0.0019352836414166553,0.07583316244422797
1.45,0.002187865089149676,0.07786351972415044
1.46,0.006311013819716006,0.07988000088050766
1.47,0.010434162550282339,0.07983707425074522
1.48,0.014557311280848669,0.0815085448048804
1.49,0.018680460011414997,0.08480677292497195
1.5,0.022803608741981327,0.08595795364100263
1.51,0.026926757472547656,0.08710913435703331
1.52,0.031049906203113993,0.08826031507306399
