#z     , ratio
0.01000,0.67541
0.03000,0.66724
0.05000,0.88444
0.07000,0.88038
0.09000,1.04333
0.11000,1.09310
0.13000,0.97764
0.15000,0.90331
0.17000,0.84653
0.19000,0.73957
0.21000,0.71091
0.23000,0.74647
0.25000,0.80755
0.27000,0.83631
0.29000,0.85341
0.31000,0.87737
0.33000,0.91564
0.35000,0.96115
0.37000,1.00538
0.39000,1.00850
0.41000,0.98718
0.43000,0.98078
0.45000,0.97743
0.47000,0.95610
0.49000,0.95016
0.51000,0.95381
0.53000,0.95621
0.55000,0.96317
0.57000,0.95329
0.59000,0.97264
0.61000,0.98789
0.63000,1.00528
0.65000,1.01085
0.67000,1.02369
0.69000,1.03307
0.71000,1.02557
0.73000,1.03248
0.75000,1.03431
0.77000,1.02972
0.79000,1.01592
0.81000,1.00309
0.83000,1.00602
0.85000,1.00890
0.87000,1.01826
0.89000,1.02602
0.91000,1.03842
0.93000,1.03024
0.95000,1.03374
0.97000,1.03868
0.99000,1.02146
1.01000,0.95672
1.03000,0.90569
1.05000,0.91929
1.07000,0.86269
1.09000,0.92085
1.11000,0.96874
1.13000,0.91842
1.15000,0.88809
1.17000,0.91910
1.19000,0.96235
1.21000,0.94783
1.23000,1.06435
1.25000,1.04193
1.27000,0.97110
1.29000,1.02594
1.31000,1.21776
1.33000,1.17423
1.35000,1.38958
1.37000,1.37917
1.39000,1.06923
1.41000,1.25563
1.43000,1.24708
1.45000,1.11700
1.47000,1.11713
1.49000,1.10723
1.51000,1.23486
1.53000,1.19248
1.55000,1.19664
1.57000,1.21921
1.59000,1.21487
1.61000,1.25230
1.63000,1.26525
1.65000,1.23376
1.67000,1.19773
1.69000,1.20779
1.71000,1.27871
1.73000,1.25575
1.75000,1.20947
1.77000,1.29294
1.79000,1.30553
1.81000,1.31446
1.83000,1.32012
1.85000,1.28392
1.87000,1.30428
1.89000,1.46363
1.91000,1.45088
1.93000,1.35382
1.95000,1.42831
1.97000,1.45330
1.99000,1.39102
2.01000,1.39798
2.03000,1.43959
2.05000,1.57976
2.07000,1.49702
2.09000,1.48705
2.11000,1.47122
2.13000,1.53252
2.15000,1.55138
2.17000,1.57000
2.19000,1.55624
2.21000,1.59236
2.23000,1.59983
2.25000,1.61610
2.27000,1.61848
2.29000,1.69506
2.31000,1.72406
2.33000,1.64094
2.35000,1.67783
2.37000,1.69001
2.39000,1.67857
2.41000,1.77481
2.43000,1.68159
2.45000,1.73495
2.47000,1.77814
2.49000,1.74701
2.51000,1.74425
2.53000,1.76583
2.55000,1.80513
2.57000,1.78879
2.59000,1.80387
2.61000,1.84778
2.63000,1.84535
2.65000,1.90675
2.67000,1.89522
2.69000,1.83968
2.71000,1.85886
2.73000,1.86372
2.75000,2.00548
2.77000,2.00946
2.79000,1.91359
2.81000,1.91856
2.83000,1.94190
2.85000,1.96009
2.87000,1.99285
2.89000,2.02816
2.91000,1.97824
2.93000,2.00247
2.95000,2.00516
2.97000,2.08847
2.99000,2.03267
