#z,bias,sigma,outlier_frac
0.100,-0.272,0.111,0.000
0.125,-0.258,0.111,0.000
0.150,-0.222,0.126,0.000
0.175,-0.201,0.122,0.000
0.200,-0.202,0.117,0.000
0.225,-0.183,0.117,0.000
0.250,-0.166,0.108,0.000
0.275,-0.145,0.113,0.000
0.300,-0.153,0.110,0.000
0.325,-0.137,0.094,0.014
0.350,-0.134,0.090,0.021
0.375,-0.102,0.086,0.013
0.400,-0.078,0.089,0.010
0.425,-0.061,0.079,0.008
0.450,-0.066,0.079,0.009
0.475,-0.044,0.080,0.010
0.500,-0.023,0.071,0.010
0.525,-0.030,0.063,0.040
0.550,0.016,0.067,0.007
0.575,-0.004,0.046,0.064
0.600,0.016,0.058,0.029
0.625,0.021,0.039,0.067
0.650,0.045,0.050,0.040
